    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
    3550       35552.9   589.0195   7.297E+00   0.8351   0.2000   2.370E-16   3.52825338E+00   7.31072753E+00
    3600       35906.5   658.7647   6.389E+00   0.7129   0.2000   2.135E-16   3.51205986E+00   7.23096541E+00
    3650       36262.6   698.0532   7.001E+00   0.7915   0.2000   2.186E-16   3.49637788E+00   7.16889140E+00
    3700       36641.9   686.5113   8.173E+00   0.9380   0.2000   3.195E-16   3.48010227E+00   7.13642900E+00
    3750       37015.8   674.0934   7.395E+00   0.8075   0.2000   2.583E-16   3.46382212E+00   7.08878600E+00
    3800       37377.2   653.6865   7.139E+00   0.7873   0.2000   2.603E-16   3.44757475E+00   7.03466766E+00
    3850       37737.4   569.0364   7.428E+00   0.8940   0.2000   3.058E-16   3.43110570E+00   6.96898003E+00
    3900       38106.7   568.7117   7.326E+00   0.8475   0.2000   2.395E-16   3.41399226E+00   6.91560367E+00
    3950       38477.6   567.5078   8.070E+00   0.9146   0.2000   3.017E-16   3.39650035E+00   6.85657232E+00
    4000       38859.3   569.0294   7.828E+00   0.8319   0.2000   2.789E-16   3.37953471E+00   6.79318379E+00
    4050       39225.7   573.4630   7.098E+00   0.7514   0.2000   2.564E-16   3.36426220E+00   6.72252803E+00
    4100       39586.9   571.7634   8.162E+00   0.8783   0.2000   2.659E-16   3.34926836E+00   6.66210527E+00
    4150       39976.3   619.2039   8.135E+00   0.9303   0.2000   3.016E-16   3.33239386E+00   6.61327457E+00
    4200       40357.9   716.8841   7.999E+00   0.9096   0.2000   2.664E-16   3.31643598E+00   6.56101089E+00
    4250       40732.5 10733.2750   7.364E+00   0.8566   0.2000   2.711E-16   3.30124723E+00   6.50531099E+00
    4300       41125.6   589.7087   7.714E+00   0.8661   0.2000   2.974E-16   3.28543982E+00   6.45104234E+00
    4350       41513.4   593.6218   8.362E+00   0.9004   0.2000   3.762E-16   3.26974894E+00   6.38587323E+00
    4400         41900  8467.0376   7.649E+00   0.7972   0.2000   2.737E-16   3.25413186E+00   6.30505179E+00
    4450       42313.9  2847.7979   8.481E+00   0.9213   0.2000   3.908E-16   3.23787449E+00   6.23435068E+00
    4500       42717.7   618.7625   8.558E+00   0.9158   0.2000   3.190E-16   3.22251394E+00   6.16497748E+00
    4550       43128.5  1048.3468   8.515E+00   0.8988   0.2000   3.450E-16   3.20727764E+00   6.08728657E+00
    4559         43200   124.5296   8.538E+00   0.8767   0.2000   9.286E-17   3.20460684E+00   6.07592243E+00
