    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
     550          5500    18.4232   1.000E+01   0.1609   0.0195   5.028E-18   1.96033034E+00   1.91940779E+00
     600          6000    18.0326   1.000E+01   0.1665   0.0223   4.924E-18   1.95684076E+00   1.91332725E+00
     650          6500    16.1270   1.000E+01   0.1886   0.0308   5.101E-18   1.95334495E+00   1.90832140E+00
     700          7000    15.7585   1.000E+01   0.1986   0.0364   5.029E-18   1.94946907E+00   1.90342344E+00
     750          7500    14.7401   1.000E+01   0.2076   0.0345   4.850E-18   1.94511801E+00   1.89541021E+00
     800          8000    15.4639   1.000E+01   0.1951   0.0368   5.020E-18   1.94075859E+00   1.88514095E+00
     850          8500    14.9735   1.000E+01   0.1912   0.0394   5.030E-18   1.93682640E+00   1.87695729E+00
     900          9000    14.8418   1.000E+01   0.2051   0.0396   4.810E-18   1.93339866E+00   1.87174425E+00
     950          9500    15.4025   1.000E+01   0.2112   0.0421   6.046E-18   1.93032110E+00   1.86728406E+00
    1000         10000    15.9596   1.000E+01   0.2187   0.0496   6.241E-18   1.92743414E+00   1.86187833E+00
    1050         10500    14.7171   1.000E+01   0.2188   0.0486   5.607E-18   1.92470535E+00   1.85613055E+00
    1080         10800     9.5408   1.000E+01   0.2387   0.0503   5.676E-18   1.92312770E+00   1.85306555E+00
    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
    1100         11000    14.5612   1.000E+01   0.2243   0.0525   5.606E-18   1.92208807E+00   1.85133512E+00
    1150         11500    20.5546   1.000E+01   0.2433   0.0566   6.857E-18   1.91949410E+00   1.84811254E+00
    1200         12000    19.8437   1.000E+01   0.2550   0.0584   7.348E-18   1.91682359E+00   1.84570454E+00
    1250         12500    15.7153   1.000E+01   0.2512   0.0606   7.568E-18   1.91405227E+00   1.84180867E+00
    1300         13000    18.4791   1.000E+01   0.2773   0.0633   8.097E-18   1.91137636E+00   1.83628273E+00
    1350         13500    16.8136   1.000E+01   0.2717   0.0733   9.611E-18   1.90891667E+00   1.83397981E+00
    1400         14000    16.8025   1.000E+01   0.3207   0.0660   9.148E-18   1.90658036E+00   1.83351514E+00
    1450         14500    17.4004   1.000E+01   0.3127   0.0733   1.119E-17   1.90441047E+00   1.83049083E+00
    1500         15000    20.9913   1.000E+01   0.3465   0.0801   1.239E-17   1.90246488E+00   1.82926346E+00
    1550         15500    20.2372   1.000E+01   0.3252   0.0817   1.226E-17   1.90079367E+00   1.83023188E+00
    1600         16000    18.1834   1.000E+01   0.3434   0.0760   1.339E-17   1.89942645E+00   1.82939710E+00
    1650         16500    17.6748   1.000E+01   0.3413   0.0938   1.521E-17   1.89831961E+00   1.83369898E+00
    1700         17000    16.9351   1.000E+01   0.3659   0.0833   1.512E-17   1.89741456E+00   1.83757780E+00
    1750         17500    15.3534   1.000E+01   0.3669   0.0843   1.842E-17   1.89722549E+00   1.83970864E+00
    1800         18000    15.9315   1.000E+01   0.3937   0.0884   1.840E-17   1.89729173E+00   1.84739652E+00
    1850         18500    17.1762   1.000E+01   0.4257   0.0908   2.171E-17   1.89748173E+00   1.85639298E+00
    1900         19000    16.2545   1.000E+01   0.4347   0.0941   2.192E-17   1.89833675E+00   1.86621106E+00
    1950         19500    15.6345   1.000E+01   0.4507   0.0940   2.168E-17   1.90002856E+00   1.87701653E+00
    2000         20000    16.1424   1.000E+01   0.4059   0.1013   2.587E-17   1.90164184E+00   1.89401652E+00
    2050         20500    16.7838   1.000E+01   0.4115   0.1053   2.560E-17   1.90313805E+00   1.88915319E+00
    2100         21000    16.1846   1.000E+01   0.4636   0.1084   3.016E-17   1.90447606E+00   1.90673893E+00
    2150         21500    17.4998   1.000E+01   0.4914   0.1112   3.338E-17   1.90614932E+00   1.92377454E+00
    2160         21600     3.4456   1.000E+01   0.5142   0.1165   2.483E-17   1.90662473E+00   1.93001776E+00
    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
    2200         21640     9.8955   1.000E+00   0.0499   0.0117   9.307E-18   1.90682356E+00   1.93213031E+00
    2250         21690    12.2053   1.000E+00   0.0496   0.0111   1.068E-17   1.90707540E+00   1.93413135E+00
    2300         21740    11.9021   1.000E+00   0.0465   0.0111   8.275E-18   1.90732822E+00   1.93535736E+00
    2350         21790    12.3947   1.000E+00   0.0465   0.0111   9.205E-18   1.90758028E+00   1.93585187E+00
    2400         21840    13.6646   1.000E+00   0.0444   0.0116   8.817E-18   1.90783143E+00   1.93586306E+00
    2450         21890    12.1091   1.000E+00   0.0446   0.0110   9.180E-18   1.90808256E+00   1.93567508E+00
    2500         21940    12.4619   1.000E+00   0.0446   0.0107   1.033E-17   1.90833461E+00   1.93550053E+00
    2550         21990    14.5686   1.000E+00   0.0439   0.0102   9.050E-18   1.90858757E+00   1.93547934E+00
    2600         22040    13.2032   1.000E+00   0.0447   0.0116   9.295E-18   1.90884004E+00   1.93570433E+00
    2650         22090    16.7623   1.000E+00   0.0436   0.0109   9.381E-18   1.90908972E+00   1.93620899E+00
    2700         22140    13.5546   1.000E+00   0.0442   0.0113   1.014E-17   1.90933413E+00   1.93692052E+00
    2750         22190    12.9939   1.000E+00   0.0454   0.0104   9.954E-18   1.90957184E+00   1.93765918E+00
    2800         22240    13.4886   1.000E+00   0.0457   0.0104   1.083E-17   1.90980273E+00   1.93832147E+00
    2850         22290    12.3592   1.000E+00   0.0470   0.0105   9.283E-18   1.91002807E+00   1.93882788E+00
    2900         22340    13.9002   1.000E+00   0.0479   0.0108   9.289E-18   1.91024934E+00   1.93924368E+00
    2950         22390    14.1937   1.000E+00   0.0492   0.0108   1.110E-17   1.91046783E+00   1.93969682E+00
    3000         22440    15.0955   1.000E+00   0.0483   0.0111   1.060E-17   1.91068399E+00   1.94025755E+00
    3050         22490    13.4012   1.000E+00   0.0497   0.0113   9.755E-18   1.91089746E+00   1.94090239E+00
    3100         22540    14.3250   1.000E+00   0.0489   0.0114   9.982E-18   1.91110789E+00   1.94153245E+00
    3150         22590    18.7277   1.000E+00   0.0485   0.0112   9.055E-18   1.91131583E+00   1.94214462E+00
    3200         22640    13.6093   1.000E+00   0.0482   0.0103   8.602E-18   1.91152325E+00   1.94267723E+00
    3250         22690    13.0035   1.000E+00   0.0466   0.0103   9.235E-18   1.91173353E+00   1.94309905E+00
    3300         22740    13.1834   1.000E+00   0.0477   0.0103   1.105E-17   1.91195100E+00   1.94333545E+00
    3350         22790    16.7578   1.000E+00   0.0449   0.0103   1.041E-17   1.91217955E+00   1.94339760E+00
    3400         22840    13.6567   1.000E+00   0.0458   0.0101   7.916E-18   1.91242221E+00   1.94331333E+00
    3450         22890    14.5205   1.000E+00   0.0459   0.0105   8.755E-18   1.91268076E+00   1.94322481E+00
    3500         22940    13.9866   1.000E+00   0.0467   0.0107   8.476E-18   1.91295560E+00   1.94319723E+00
    3550         22990    12.8786   1.000E+00   0.0471   0.0103   9.577E-18   1.91324596E+00   1.94335444E+00
    3600         23040    13.1993   1.000E+00   0.0462   0.0106   9.515E-18   1.91355013E+00   1.94375068E+00
    3650         23090    13.7278   1.000E+00   0.0471   0.0112   8.872E-18   1.91386631E+00   1.94451406E+00
    3700         23140    14.0082   1.000E+00   0.0481   0.0116   8.502E-18   1.91419297E+00   1.94577310E+00
    3750         23190    14.2347   1.000E+00   0.0464   0.0118   9.073E-18   1.91452959E+00   1.94773018E+00
    3800         23240    14.6866   1.000E+00   0.0479   0.0128   1.063E-17   1.91487627E+00   1.95048187E+00
    3850         23290    14.5929   1.000E+00   0.0487   0.0128   1.052E-17   1.91523363E+00   1.95399327E+00
    3900         23340    12.6785   1.000E+00   0.0484   0.0111   8.298E-18   1.91560142E+00   1.95801771E+00
    3950         23390    13.0825   1.000E+00   0.0485   0.0108   1.006E-17   1.91597847E+00   1.96228443E+00
