-41.40	-30.75	2.55	0.767	0.035	0.312	0.195	0.01193	-0.116	-0.309	2.675	3.614
-43.13	-29.03	2.55	0.763	0.044	0.201	0.174	0.01050	0.376	0.033	2.994	3.275
-44.93	-27.23	2.55	0.592	-0.068	0.200	0.171	0.00628	0.360	-0.126	3.008	3.211
-46.65	-25.43	2.55	0.574	-0.082	0.198	0.187	-0.00080	0.204	0.058	2.967	2.959
-48.45	-23.70	2.55	0.573	-0.123	0.200	0.163	-0.00410	0.224	0.502	3.171	4.132
-50.25	-21.90	2.55	0.584	-0.107	0.172	0.144	-0.00111	0.454	0.022	3.492	3.556
-51.98	-20.18	2.55	0.621	-0.054	0.185	0.170	-0.00136	0.397	-0.140	3.355	3.404
-53.70	-18.38	2.55	0.703	-0.035	0.209	0.202	-0.00123	0.299	-0.015	3.105	3.040
-55.50	-16.58	2.55	0.820	-0.038	0.238	0.212	0.01324	-0.001	0.093	3.011	3.181
-57.30	-14.85	2.55	0.657	-0.036	0.337	0.255	0.02388	0.131	-0.303	2.428	2.983
