ALT	PRESS	TEMP	RH	SPEED	DIR	POTT	VIRPOT	Ri
1641	836.22	27.81	20.4	5.5	229.3946912	316.7561829	317.6720123	0.710951583
1642	836.09	27.86	20.39	5.4	230.8946912	316.8228945	317.7410911	0.217306861
1644	835.9333333	27.77	20.39333333	5.5	229.7946913	316.7451423	317.6589899	-0.506692268
1647	835.67	27.73	20.37	5.5	229.0946912	316.7315779	317.6426684	
1648	835.56	27.745	20.39	5.45	229.3910214	316.7592931	317.672222	0.361257035
1649	835.47	27.79	20.385	5.4	229.6446912	316.8164261	317.7316196	0.744594453
1652	835.22	27.64	20.32	5.5	229.5946912	316.6856178	317.5904369	-1.279220953
1653	835.13	27.68	20.35	5.5	229.3946912	316.7374934	317.6458595	
1654	835	27.64	20.36	5.4	229.2946912	316.7094789	317.6163951	-0.091321121
1655	834.95	27.66	20.335	5.5	230.4946912	316.7359619	317.6428763	0.08632307
1656	834.77	27.73	20.35	5.4	229.6946912	316.829204	317.7406987	0.303858416
1657	834.705	27.64	20.33	5.4	229.5446912	316.7414868	317.6474902	
1658	834.64	27.68	20.34	5.5	229.6946912	316.7906639	317.699289	0.160285637
1659	834.525	27.6	20.315	5.5	232.2183316	316.7189009	317.622418	
1661	834.32	27.64	20.32	5.6	232.0946912	316.7832824	317.6893931	0.419740188
1663	834.13	27.6	20.32	5.6	233.1946912	316.7617882	317.666094	
1664	834.0733333	27.55666667	20.24666667	5.866666667	233.5935597	316.7223017	317.6211867	-0.018105919
1665	834	27.56	20.27	6.1	234.6946912	316.7337773	317.6339751	0.006872686
1666	833.86	27.6	20.27	6	234.1946912	316.7911187	317.6935858	0.186945487
1668	833.65	27.555	20.225	5.95	233.1064582	316.7665362	317.6649765	-0.641251613
1669	833.55	27.55	20.24	5.9	234.1946912	316.7721371	317.6711284	0.07305267
1670	833.46	27.555	20.215	5.9	232.2946912	316.7871871	317.6854541	
1672	833.28	27.55	20.19	5.8	230.5946912	316.8014889	317.6986439	0.093269869
1674	833.15	27.47	20.18	5.7	227.6946912	316.7313382	317.6241239	-0.457611421
1675	833.005	27.49	20.16	5.8	225.4946912	316.7681782	317.6613096	0.120150444
1676	832.9333333	27.45666667	20.17333333	5.7	227.9993145	316.7408507	317.6329654	-0.089135975
