    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
    1000       19888.2    36.5626   1.790E+01   0.7723   0.2000   3.657E-17   1.90027776E+00   1.88016250E+00
    1050       20772.8    36.4892   1.840E+01   0.8504   0.2000   5.156E-17   1.90233595E+00   1.89521414E+00
    1096         21600    33.5301   1.561E+01   0.8961   0.2000   2.792E-17   1.90635130E+00   1.92454233E+00
    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
    1100       21664.2     2.9179   1.626E+01   0.9443   0.2000   4.662E-17   1.90668149E+00   1.92525508E+00
    1150       22536.5    37.5572   1.767E+01   0.8068   0.2000   4.552E-17   1.91066390E+00   1.95019546E+00
    1200         23400    36.3367   1.842E+01   0.8732   0.2000   1.710E-17   1.91630714E+00   1.96435607E+00
    1250       24268.4    36.1031   1.626E+01   0.8915   0.2000   8.149E-17   1.92239581E+00   1.98912149E+00
    1300       25096.6    36.7546   1.779E+01   0.9820   0.2000   8.132E-17   1.92773870E+00   2.04466023E+00
    1350       25889.9    36.6519   1.444E+01   0.7364   0.2000   6.284E-17   1.93479610E+00   2.06469007E+00
    1400       26676.6    36.5443   1.561E+01   0.8443   0.2000   7.537E-17   1.94283570E+00   2.07310687E+00
    1450       27435.5    39.0882   1.645E+01   0.9378   0.2000   8.500E-17   1.95204118E+00   2.12715479E+00
    1500         28234    38.9436   1.697E+01   0.9084   0.2000   1.016E-16   1.96270171E+00   2.14766817E+00
    1550       29012.7    39.3730   1.651E+01   0.8799   0.2000   9.277E-17   1.97354395E+00   2.16122606E+00
    1600       29793.5    38.3628   1.538E+01   0.8384   0.2000   8.329E-17   1.98289722E+00   2.18230055E+00
    1650       30550.2    38.2426   1.463E+01   0.8712   0.2000   9.224E-17   1.99352494E+00   2.23143820E+00
    1700       31255.6    40.3149   1.372E+01   0.7930   0.2000   8.208E-17   2.00406051E+00   2.22346895E+00
    1750       31997.9    39.7426   1.651E+01   0.9252   0.2000   1.063E-16   2.01717987E+00   2.26824154E+00
    1778         32400    21.8282   1.527E+01   0.8958   0.2000   2.160E-17   2.02313772E+00   2.29429455E+00
    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
    1800       32731.6    17.1775   1.635E+01   0.9607   0.2000   9.936E-17   2.02671860E+00   2.28908023E+00
    1850       33467.5    38.5963   1.450E+01   0.8481   0.2000   1.009E-16   2.03659656E+00   2.25005141E+00
    1900       34184.6    38.7493   1.483E+01   0.8632   0.2000   1.488E-16   2.04567435E+00   2.31758635E+00
    1950       34908.3    38.2058   1.518E+01   0.8893   0.2000   1.374E-16   2.05804825E+00   2.36581810E+00
    2000       35608.3    40.2682   1.476E+01   0.9562   0.2000   1.133E-16   2.07152191E+00   2.45339055E+00
    2050       36346.9    39.2904   1.597E+01   1.0000   0.1955   1.451E-16   2.08603449E+00   2.41371387E+00
    2100       37113.9    39.3052   1.397E+01   0.9327   0.2000   1.225E-16   2.10165799E+00   2.48257856E+00
    2150       37873.4    40.8298   1.498E+01   0.8790   0.2000   1.352E-16   2.11883625E+00   2.47641465E+00
    2200       38625.3    41.5971   1.372E+01   0.8321   0.2000   1.412E-16   2.13700070E+00   2.47123362E+00
    2250       39348.6    37.9062   1.662E+01   0.9013   0.2000   1.736E-16   2.15445769E+00   2.50713727E+00
    2300       40135.7    39.9875   1.487E+01   1.0000   0.1845   1.588E-16   2.17197116E+00   2.54940156E+00
    2350       40912.9    43.0173   1.614E+01   1.0000   0.1919   1.656E-16   2.18748593E+00   2.51967037E+00
    2400       41717.5    44.9082   1.714E+01   0.9226   0.2000   2.052E-16   2.20295617E+00   2.49873664E+00
    2450       42519.5    40.3692   1.499E+01   1.0000   0.1908   1.482E-16   2.22037449E+00   2.57171965E+00
    2500       43286.5    40.6559   1.732E+01   1.0000   0.1974   2.000E-16   2.24066973E+00   2.49979093E+00
